Fitness,Accuracy,Complexity,Equations
31.2000000000000,26.3,7,[2*b1 + 2*b4 a1*b2 + a1*b3 a1 + a2 + a3 - b3 a2*a3 + b2 - b3]
31.2000000000000,26.3,7,[2*b1 + 2*b4 a1*b2 + a1*b3 a1 + a2 + a3 - b3 a2*a3 + b2 - b3]
30.5750000000000,24.975,8,[2*b1 + b2 + b4 a3 a1 + a2 + a3 + b2*b3 a2*a3 + a3 + b2]
30.5750000000000,24.975,8,[2*b1 + b2 + b4 a3 a1 + a2 + a3 + b2*b3 a2*a3 + a3 + b2]
27.8375000000000,21.5375,9,[a2 + 2*b1 + b2 a3 2*a2 + 2*a3 + a4*b3 + b1 - b3 a2*a3 + b1*b4 + b2]
27.8375000000000,21.5375,9,[a2 + 2*b1 + b2 a3 2*a2 + 2*a3 + a4*b3 + b1 - b3 a2*a3 + b1*b4 + b2]
27.7125000000000,22.8125,7,[a2 + 2*b1 + b2 2 3*a2 + a3 + a4*b3 + b1 - b3 a2*a3 + b1*b4 + b2]
25.7625000000000,19.4625,9,[a1 + 2*b1 + b2 a3 2*a3 + a4*b3 + 2*b1 - b3 + b4 a2*a3 + a4*b4 + b2]
24.7875000000000,17.7875,10,[a1 + a3*b1 + b2 a3 2*a3 + a4*b3 + 2*b1 - b3 + b4 a2*a3 + a4*b4 + b2]
24.7875000000000,17.7875,10,[a1 + a3*b1 + b2 a3 2*a3 + a4*b3 + 2*b1 - b3 + b4 a2*a3 + a4*b4 + b2]
24.3500000000000,18.75,8,[a1 + a3*b1 + b2 a3 a4*b3 + 2*b1 + b4 a2*a3 + a4*b4 + b2]
23.1875000000000,16.1875,10,[a1 + a3*b1 + b2 a3 2*a3 + a4*b3 + b3 + b4 a3*b2 + a4*b4 + b2]
23.1875000000000,16.1875,10,[a1 + a3*b1 + b2 a3 2*a3 + a4*b3 + b3 + b4 a3*b2 + a4*b4 + b2]
21.4750000000000,14.475,10,"[a1 + a3*b1 + b2 a3*b2 + a4*b4 + b2 a4*b3 + a4 + b3 + b4
 a3*b2 + a4*b4 + b2]"
21.4750000000000,14.475,10,"[a1 + a3*b1 + b2 a3*b2 + a4*b4 + b2 a4*b3 + a4 + b3 + b4
 a3*b2 + a4*b4 + b2]"
21.3375000000000,14.3375,10,"[a1 + a3*b1 + b2 a3*b2 + a4*b4 + b2 a4*b3 + a4 + b3 + b4
 a3*b2 + a4*b4 + a4]"
21.3375000000000,14.3375,10,"[a1 + a3*b1 + b2 a3*b2 + a4*b4 + b2 a4*b3 + a4 + b3 + b4
 a3*b2 + a4*b4 + a4]"
